Unnamed: 0.1,Unnamed: 0,Name,Club,Nationality,Position,Age,Matches,Starts,Mins,Goals,Assists,Passes_Attempted,Perc_Passes_Completed,Penalty_Goals,Penalty_Attempted,xG,xA,Yellow_Cards,Red_Cards,Goals_per_90,Assists_per_90,xG_Efficiency
-0.86,-0.87,Hamza Choudhury,Leicester City,ENG,MF,-0.88,-1.15,-1.23,-1.32,-0.64,-0.71,-0.93,0.22,-0.25,-0.27,-0.2,-1.02,-0.65,-0.33,-0.74,-0.77,-0.84
-0.85,-0.87,Cengiz Ünder,Leicester City,TUR,"MF,FW",-0.63,-1.25,-1.5,-1.35,-0.64,0.18,-1.1,-1.18,-0.25,-0.27,-0.4,5.81,-1.08,-0.33,-0.74,5.17,-0.84
-0.85,-0.86,Sidnei Tavares,Leicester City,POR,MF,-1.88,-1.93,-1.5,-1.56,-0.64,-0.71,-1.26,-0.83,-0.25,-0.27,-0.53,-1.02,-1.08,-0.33,-0.74,-0.77,-0.84
-0.84,-0.85,Islam Slimani,Leicester City,ALG,FW,1.63,-2.03,-1.6,-1.63,-0.64,-0.71,-1.29,-0.88,-0.25,-0.27,0.32,0.54,-1.08,-0.33,-0.74,-0.77,-0.84
-0.83,-0.85,Demarai Gray,Leicester City,ENG,FW,-0.38,-2.03,-1.6,-1.63,-0.64,-0.71,-1.29,-2.1,-0.25,-0.27,1.89,-1.02,-1.08,-0.33,-0.74,-0.77,-0.84
-0.82,-0.83,Tomáš Souček,West Ham United,CZE,MF,-0.13,1.56,1.87,1.95,2.15,-0.26,1.14,-0.32,-0.25,-0.27,0.65,-0.54,1.93,2.85,0.84,-0.49,1.3
-0.81,-0.82,Aaron Cresswell,West Ham United,ENG,DF,1.12,1.36,1.69,1.69,-0.64,2.88,1.97,-0.6,-0.25,-0.27,-0.73,1.02,0.21,-0.33,-0.74,1.36,-0.84
-0.81,-0.81,Vladimír Coufal,West Ham United,CZE,DF,0.37,1.17,1.51,1.56,-0.64,2.43,1.38,-1.12,-0.25,-0.27,-0.66,0.66,0.21,-0.33,-0.74,1.18,-0.84
-0.8,-0.8,Declan Rice,West Ham United,ENG,MF,-1.13,0.98,1.33,1.38,-0.08,-0.26,1.09,0.93,0.81,1.58,-0.27,-0.3,-0.22,-0.33,-0.38,-0.49,0.19
-0.79,-0.8,Pablo Fornals,West Ham United,ESP,"FW,MF",-0.38,1.07,1.23,1.06,0.75,1.08,0.45,-0.27,-0.25,-0.27,0.58,0.06,0.21,-0.33,0.29,0.53,0.28
